Share_n: 8 | Epoch: 0/200 | new_acc: 14.86%
Share_n: 8 | Epoch: 1/200 | new_acc: 20.56%
Share_n: 8 | Epoch: 2/200 | new_acc: 27.5%
Share_n: 8 | Epoch: 3/200 | new_acc: 19.87%
Share_n: 8 | Epoch: 4/200 | new_acc: 25.49%
Share_n: 8 | Epoch: 5/200 | new_acc: 21.44%
Share_n: 8 | Epoch: 6/200 | new_acc: 26.37%
Share_n: 8 | Epoch: 7/200 | new_acc: 22.62%
Share_n: 8 | Epoch: 8/200 | new_acc: 25.18%
Share_n: 8 | Epoch: 9/200 | new_acc: 23.39%
Share_n: 8 | Epoch: 10/200 | new_acc: 24.48%
Share_n: 8 | Epoch: 11/200 | new_acc: 18.18%
Share_n: 8 | Epoch: 12/200 | new_acc: 22.17%
Share_n: 8 | Epoch: 13/200 | new_acc: 19.55%
Share_n: 8 | Epoch: 14/200 | new_acc: 22.16%
Share_n: 8 | Epoch: 15/200 | new_acc: 16.09%
Share_n: 8 | Epoch: 16/200 | new_acc: 20.72%
Share_n: 8 | Epoch: 17/200 | new_acc: 19.89%
Share_n: 8 | Epoch: 18/200 | new_acc: 22.93%
Share_n: 8 | Epoch: 19/200 | new_acc: 22.2%
Share_n: 8 | Epoch: 20/200 | new_acc: 23.58%
Share_n: 8 | Epoch: 21/200 | new_acc: 25.85%
Share_n: 8 | Epoch: 22/200 | new_acc: 23.95%
Share_n: 8 | Epoch: 23/200 | new_acc: 25.55%
Share_n: 8 | Epoch: 24/200 | new_acc: 28.72%
Share_n: 8 | Epoch: 25/200 | new_acc: 24.9%
Share_n: 8 | Epoch: 26/200 | new_acc: 24.54%
Share_n: 8 | Epoch: 27/200 | new_acc: 27.48%
Share_n: 8 | Epoch: 28/200 | new_acc: 23.58%
Share_n: 8 | Epoch: 29/200 | new_acc: 22.4%
Share_n: 8 | Epoch: 30/200 | new_acc: 21.3%
Share_n: 8 | Epoch: 31/200 | new_acc: 25.18%
Share_n: 8 | Epoch: 32/200 | new_acc: 27.43%
Share_n: 8 | Epoch: 33/200 | new_acc: 22.99%
Share_n: 8 | Epoch: 34/200 | new_acc: 25.48%
Share_n: 8 | Epoch: 35/200 | new_acc: 24.53%
Share_n: 8 | Epoch: 36/200 | new_acc: 28.05%
Share_n: 8 | Epoch: 37/200 | new_acc: 23.7%
Share_n: 8 | Epoch: 38/200 | new_acc: 26.54%
Share_n: 8 | Epoch: 39/200 | new_acc: 20.6%
Share_n: 8 | Epoch: 40/200 | new_acc: 25.74%
Share_n: 8 | Epoch: 41/200 | new_acc: 20.83%
Share_n: 8 | Epoch: 42/200 | new_acc: 24.73%
Share_n: 8 | Epoch: 43/200 | new_acc: 22.14%
Share_n: 8 | Epoch: 44/200 | new_acc: 23.42%
Share_n: 8 | Epoch: 45/200 | new_acc: 21.04%
Share_n: 8 | Epoch: 46/200 | new_acc: 28.7%
Share_n: 8 | Epoch: 47/200 | new_acc: 23.43%
Share_n: 8 | Epoch: 48/200 | new_acc: 17.87%
Share_n: 8 | Epoch: 49/200 | new_acc: 22.05%
Share_n: 8 | Epoch: 50/200 | new_acc: 22.63%
Share_n: 8 | Epoch: 51/200 | new_acc: 21.52%
Share_n: 8 | Epoch: 52/200 | new_acc: 25.3%
Share_n: 8 | Epoch: 53/200 | new_acc: 22.28%
Share_n: 8 | Epoch: 54/200 | new_acc: 16.49%
Share_n: 8 | Epoch: 55/200 | new_acc: 17.3%
Share_n: 8 | Epoch: 56/200 | new_acc: 19.45%
Share_n: 8 | Epoch: 57/200 | new_acc: 16.33%
Share_n: 8 | Epoch: 58/200 | new_acc: 19.8%
Share_n: 8 | Epoch: 59/200 | new_acc: 14.66%
Share_n: 8 | Epoch: 60/200 | new_acc: 14.93%
Share_n: 8 | Epoch: 61/200 | new_acc: 16.18%
Share_n: 8 | Epoch: 62/200 | new_acc: 18.27%
Share_n: 8 | Epoch: 63/200 | new_acc: 18.34%
Share_n: 8 | Epoch: 64/200 | new_acc: 13.37%
Share_n: 8 | Epoch: 65/200 | new_acc: 17.02%
Share_n: 8 | Epoch: 66/200 | new_acc: 21.64%
Share_n: 8 | Epoch: 67/200 | new_acc: 20.96%
Share_n: 8 | Epoch: 68/200 | new_acc: 19.33%
Share_n: 8 | Epoch: 69/200 | new_acc: 16.81%
Share_n: 8 | Epoch: 70/200 | new_acc: 16.52%
Share_n: 8 | Epoch: 71/200 | new_acc: 17.98%
Share_n: 8 | Epoch: 72/200 | new_acc: 16.44%
Share_n: 8 | Epoch: 73/200 | new_acc: 16.41%
Share_n: 8 | Epoch: 74/200 | new_acc: 16.1%
Share_n: 8 | Epoch: 75/200 | new_acc: 15.82%
Share_n: 8 | Epoch: 76/200 | new_acc: 16.49%
Share_n: 8 | Epoch: 77/200 | new_acc: 16.65%
Share_n: 8 | Epoch: 78/200 | new_acc: 17.56%
Share_n: 8 | Epoch: 79/200 | new_acc: 19.7%
Share_n: 8 | Epoch: 80/200 | new_acc: 15.43%
Share_n: 8 | Epoch: 81/200 | new_acc: 16.55%
Share_n: 8 | Epoch: 82/200 | new_acc: 15.75%
Share_n: 8 | Epoch: 83/200 | new_acc: 15.02%
Share_n: 8 | Epoch: 84/200 | new_acc: 14.03%
Share_n: 8 | Epoch: 85/200 | new_acc: 15.23%
Share_n: 8 | Epoch: 86/200 | new_acc: 15.11%
Share_n: 8 | Epoch: 87/200 | new_acc: 15.1%
Share_n: 8 | Epoch: 88/200 | new_acc: 15.49%
Share_n: 8 | Epoch: 89/200 | new_acc: 16.06%
Share_n: 8 | Epoch: 90/200 | new_acc: 15.66%
Share_n: 8 | Epoch: 91/200 | new_acc: 20.46%
Share_n: 8 | Epoch: 92/200 | new_acc: 17.46%
Share_n: 8 | Epoch: 93/200 | new_acc: 20.03%
Share_n: 8 | Epoch: 94/200 | new_acc: 17.25%
Share_n: 8 | Epoch: 95/200 | new_acc: 17.32%
Share_n: 8 | Epoch: 96/200 | new_acc: 19.1%
Share_n: 8 | Epoch: 97/200 | new_acc: 18.74%
Share_n: 8 | Epoch: 98/200 | new_acc: 18.0%
Share_n: 8 | Epoch: 99/200 | new_acc: 15.53%
Share_n: 8 | Epoch: 100/200 | new_acc: 16.94%
Share_n: 8 | Epoch: 101/200 | new_acc: 17.16%
Share_n: 8 | Epoch: 102/200 | new_acc: 15.53%
Share_n: 8 | Epoch: 103/200 | new_acc: 15.74%
Share_n: 8 | Epoch: 104/200 | new_acc: 16.35%
Share_n: 8 | Epoch: 105/200 | new_acc: 15.0%
Share_n: 8 | Epoch: 106/200 | new_acc: 15.69%
Share_n: 8 | Epoch: 107/200 | new_acc: 17.0%
Share_n: 8 | Epoch: 108/200 | new_acc: 17.61%
Share_n: 8 | Epoch: 109/200 | new_acc: 17.05%
Share_n: 8 | Epoch: 110/200 | new_acc: 16.41%
Share_n: 8 | Epoch: 111/200 | new_acc: 17.34%
Share_n: 8 | Epoch: 112/200 | new_acc: 16.86%
Share_n: 8 | Epoch: 113/200 | new_acc: 14.3%
Share_n: 8 | Epoch: 114/200 | new_acc: 15.62%
Share_n: 8 | Epoch: 115/200 | new_acc: 16.78%
Share_n: 8 | Epoch: 116/200 | new_acc: 14.58%
Share_n: 8 | Epoch: 117/200 | new_acc: 14.46%
Share_n: 8 | Epoch: 118/200 | new_acc: 14.89%
Share_n: 8 | Epoch: 119/200 | new_acc: 15.62%
Share_n: 8 | Epoch: 120/200 | new_acc: 15.75%
Share_n: 8 | Epoch: 121/200 | new_acc: 15.61%
Share_n: 8 | Epoch: 122/200 | new_acc: 15.61%
Share_n: 8 | Epoch: 123/200 | new_acc: 15.4%
Share_n: 8 | Epoch: 124/200 | new_acc: 15.1%
Share_n: 8 | Epoch: 125/200 | new_acc: 14.61%
Share_n: 8 | Epoch: 126/200 | new_acc: 15.93%
Share_n: 8 | Epoch: 127/200 | new_acc: 14.13%
Share_n: 8 | Epoch: 128/200 | new_acc: 14.3%
Share_n: 8 | Epoch: 129/200 | new_acc: 15.3%
Share_n: 8 | Epoch: 130/200 | new_acc: 14.98%
Share_n: 8 | Epoch: 131/200 | new_acc: 16.39%
Share_n: 8 | Epoch: 132/200 | new_acc: 15.45%
Share_n: 8 | Epoch: 133/200 | new_acc: 16.02%
Share_n: 8 | Epoch: 134/200 | new_acc: 14.19%
Share_n: 8 | Epoch: 135/200 | new_acc: 15.66%
Share_n: 8 | Epoch: 136/200 | new_acc: 15.58%
Share_n: 8 | Epoch: 137/200 | new_acc: 15.32%
Share_n: 8 | Epoch: 138/200 | new_acc: 16.48%
Share_n: 8 | Epoch: 139/200 | new_acc: 15.78%
Share_n: 8 | Epoch: 140/200 | new_acc: 15.94%
Share_n: 8 | Epoch: 141/200 | new_acc: 15.3%
Share_n: 8 | Epoch: 142/200 | new_acc: 14.86%
Share_n: 8 | Epoch: 143/200 | new_acc: 14.86%
Share_n: 8 | Epoch: 144/200 | new_acc: 15.25%
Share_n: 8 | Epoch: 145/200 | new_acc: 15.38%
Share_n: 8 | Epoch: 146/200 | new_acc: 16.17%
Share_n: 8 | Epoch: 147/200 | new_acc: 16.29%
Share_n: 8 | Epoch: 148/200 | new_acc: 15.74%
Share_n: 8 | Epoch: 149/200 | new_acc: 15.7%
Share_n: 8 | Epoch: 150/200 | new_acc: 15.06%
Share_n: 8 | Epoch: 151/200 | new_acc: 14.97%
Share_n: 8 | Epoch: 152/200 | new_acc: 14.05%
Share_n: 8 | Epoch: 153/200 | new_acc: 14.9%
Share_n: 8 | Epoch: 154/200 | new_acc: 13.56%
Share_n: 8 | Epoch: 155/200 | new_acc: 16.08%
Share_n: 8 | Epoch: 156/200 | new_acc: 16.01%
Share_n: 8 | Epoch: 157/200 | new_acc: 14.93%
Share_n: 8 | Epoch: 158/200 | new_acc: 13.6%
Share_n: 8 | Epoch: 159/200 | new_acc: 15.28%
Share_n: 8 | Epoch: 160/200 | new_acc: 14.92%
Share_n: 8 | Epoch: 161/200 | new_acc: 14.82%
Share_n: 8 | Epoch: 162/200 | new_acc: 11.29%
Share_n: 8 | Epoch: 163/200 | new_acc: 14.72%
Share_n: 8 | Epoch: 164/200 | new_acc: 14.0%
Share_n: 8 | Epoch: 165/200 | new_acc: 15.23%
Share_n: 8 | Epoch: 166/200 | new_acc: 15.45%
Share_n: 8 | Epoch: 167/200 | new_acc: 15.03%
Share_n: 8 | Epoch: 168/200 | new_acc: 14.8%
Share_n: 8 | Epoch: 169/200 | new_acc: 14.87%
Share_n: 8 | Epoch: 170/200 | new_acc: 16.02%
Share_n: 8 | Epoch: 171/200 | new_acc: 15.08%
Share_n: 8 | Epoch: 172/200 | new_acc: 14.32%
Share_n: 8 | Epoch: 173/200 | new_acc: 14.85%
Share_n: 8 | Epoch: 174/200 | new_acc: 15.11%
Share_n: 8 | Epoch: 175/200 | new_acc: 13.89%
Share_n: 8 | Epoch: 176/200 | new_acc: 13.56%
Share_n: 8 | Epoch: 177/200 | new_acc: 15.98%
Share_n: 8 | Epoch: 178/200 | new_acc: 14.4%
Share_n: 8 | Epoch: 179/200 | new_acc: 14.7%
Share_n: 8 | Epoch: 180/200 | new_acc: 14.24%
Share_n: 8 | Epoch: 181/200 | new_acc: 16.24%
Share_n: 8 | Epoch: 182/200 | new_acc: 13.88%
Share_n: 8 | Epoch: 183/200 | new_acc: 16.0%
Share_n: 8 | Epoch: 184/200 | new_acc: 14.03%
Share_n: 8 | Epoch: 185/200 | new_acc: 13.85%
Share_n: 8 | Epoch: 186/200 | new_acc: 15.31%
Share_n: 8 | Epoch: 187/200 | new_acc: 14.23%
Share_n: 8 | Epoch: 188/200 | new_acc: 14.08%
Share_n: 8 | Epoch: 189/200 | new_acc: 15.01%
Share_n: 8 | Epoch: 190/200 | new_acc: 14.92%
Share_n: 8 | Epoch: 191/200 | new_acc: 13.79%
Share_n: 8 | Epoch: 192/200 | new_acc: 13.53%
